Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Ticker
381.0,391.0,399.0,0.444599986076355,0.4156000018119812,,0.5871479897797108,-11.04899400472641,-0.06522713714029083,2025-07-17,2025-07-29,12 days,,CAJ1.F
380.0,399.0,401.0,0.4156000018119812,0.5565000176429749,0.37731499820947645,0.538825184762478,53.54200601577759,0.339027948067087,2025-07-29,2025-07-31,2 days,,CAJ1.F
379.0,401.0,402.0,0.5565000176429749,0.49239999055862427,0.43283001333475113,0.6133878081142903,-24.293910264968872,-0.1151842318996551,2025-07-31,2025-08-01,1 days,; closed_due to volatility spike,CAJ1.F
185.0,403.0,404.0,0.5034999847412109,0.546500027179718,,,7.95500785112381,0.08540227158220914,2025-08-04,2025-08-05,1 days,; partially_closed,CAJ1.F
185.0,403.0,407.0,0.5034999847412109,0.6274999976158142,,0.7099035353064538,22.940002381801605,0.24627610056102944,2025-08-04,2025-08-08,4 days,; partially_closed; stop-loss tightened during volatility spike,CAJ1.F
329.0,407.0,408.0,0.6585000157356262,0.6039999723434448,0.5855350136756897,0.8255145179629327,-17.93051427602768,-0.08276392116908016,2025-08-08,2025-08-11,3 days,; closed_due to volatility spike,CAJ1.F
328.0,409.0,412.0,0.6054999828338623,0.5519999861717224,,0.7845959640741349,-17.547998905181885,-0.088356726967603,2025-08-12,2025-08-15,3 days,,CAJ1.F
164.0,412.0,419.0,0.5519999861717224,0.6269999742507935,,,12.299998044967651,0.13586954702520448,2025-08-15,2025-08-26,11 days,; partially_closed,CAJ1.F
163.0,412.0,425.0,0.5519999861717224,0.5370000004768372,,0.7202954789400101,-2.4449976682662964,-0.02717388780915453,2025-08-15,2025-09-03,19 days,; partially_closed,CAJ1.F
354.0,425.0,447.0,0.5370000004768372,0.4674000144004822,,0.6800265328288079,-24.638395071029663,-0.12960891250382245,2025-09-03,2025-10-03,30 days,,CAJ1.F
2.0,202.0,207.0,367.64154052734375,350.69840417014024,,469.7196430347574,-33.88627271440703,-0.04608602263199191,2024-10-15,2024-10-22,7 days,,LOR.F
2.0,207.0,213.0,347.2115783691406,339.2728493071467,,451.7295479119497,-15.877458123987822,-0.022864240585761197,2024-10-22,2024-10-30,8 days,,LOR.F
2.0,213.0,222.0,342.0549621582031,326.8675220700768,,442.60692438601393,-30.374880176252645,-0.04440058402398506,2024-10-30,2024-11-12,13 days,,LOR.F
1.0,222.0,242.0,325.4555969238281,340.2869873046875,,,14.831390380859375,0.04557116399608452,2024-11-12,2024-12-10,28 days,; partially_closed,LOR.F
1.0,222.0,255.0,325.4555969238281,327.45931282108927,,420.9167498192225,2.003715897261145,0.006156649067338371,2024-11-12,2025-01-03,52 days,; partially_closed,LOR.F
1.0,255.0,269.0,325.6029357910156,346.6222229003906,,,21.019287109375,0.06455496802665794,2025-01-03,2025-01-23,20 days,; partially_closed,LOR.F
1.0,255.0,276.0,325.6029357910156,343.33180547691086,,427.4238058826925,17.728869685895233,0.054449354526933114,2025-01-03,2025-02-03,31 days,; partially_closed,LOR.F
1.0,283.0,292.0,327.616455078125,342.7425231933594,,,15.126068115234375,0.04617005001054464,2025-02-12,2025-02-25,13 days,; partially_closed,LOR.F
1.0,283.0,304.0,327.616455078125,343.4300407894389,,429.59287036879164,15.81358571131392,0.048268594163082934,2025-02-12,2025-03-13,29 days,; partially_closed,LOR.F
1.0,204.0,217.0,643.9514770507812,623.7688996381289,,864.4851605763564,-20.182577412652336,-0.03134176740316841,2024-10-23,2024-11-11,19 days,,LVMHF
1.0,217.0,252.0,622.353759765625,634.8708461298559,,786.0107600419155,12.517086364230863,0.020112494168822437,2024-11-11,2025-01-02,52 days,,LVMHF
1.0,252.0,268.0,640.1337280273438,724.9951491238216,,815.5638646974077,84.8614210964779,0.13256827031749996,2025-01-02,2025-01-28,26 days,,LVMHF
1.0,314.0,321.0,593.0265502929688,562.812750487946,,740.9098046590595,-30.213799805022745,-0.05094847741656161,2025-04-03,2025-04-14,11 days,; stop-loss tightened during volatility spike,LVMHF
1.0,338.0,348.0,550.9000244140625,545.22998046875,,727.44,-5.6700439453125,-0.010292328360927527,2025-05-08,2025-05-22,14 days,,LVMHF
1.0,348.0,384.0,549.5800170898438,548.8300170898438,,698.9659421997071,-0.75,-0.001364678439313427,2025-05-22,2025-07-16,55 days,,LVMHF
33.0,209.0,210.0,30.093996047973633,29.949914932250977,28.700240658498263,38.48070328031878,-4.754676818847656,-0.0047877030186677105,2024-10-24,2024-10-25,1 days,; closed_due to volatility spike,MCHA.F
33.0,213.0,229.0,29.91149139404297,29.559450960019,,38.61795494699172,-11.617334322790988,-0.011769404252911286,2024-10-30,2024-11-21,22 days,,MCHA.F
16.0,229.0,241.0,29.594511032104492,30.75677490234375,,,18.596221923828125,0.039272953994016646,2024-11-21,2024-12-09,18 days,; partially_closed,MCHA.F
17.0,229.0,250.0,29.594511032104492,30.43018913269043,,38.51813497595484,14.206527709960938,0.028237604590911625,2024-11-21,2024-12-20,29 days,; partially_closed,MCHA.F
33.0,250.0,260.0,30.43018913269043,29.728988647460938,,39.76588867022486,-23.139616012573242,-0.023042922348327055,2024-12-20,2025-01-10,21 days,,MCHA.F
16.0,260.0,264.0,29.728988647460938,31.37152671813965,,,26.280609130859375,0.055250385075544584,2025-01-10,2025-01-16,6 days,; partially_closed,MCHA.F
17.0,260.0,276.0,29.728988647460938,31.390737469260657,,38.355927307416785,28.249729970595226,0.055896580993906264,2025-01-10,2025-02-03,24 days,; partially_closed,MCHA.F
36.0,321.0,323.0,28.605146408081055,27.82709945411967,,37.257903911023206,-28.0096903426099,-0.027199544545648102,2025-04-07,2025-04-09,2 days,; stop-loss tightened during volatility spike,MCHA.F
13.0,229.0,240.0,38.156681060791016,42.08681869506836,,,51.09178924560547,0.10299998650343478,2024-11-21,2024-12-06,15 days,; partially_closed,RNL.F
13.0,229.0,242.0,38.156681060791016,42.02958679199219,40.71287346875098,50.594014366149906,50.347774505615234,0.1015000682326348,2024-11-21,2024-12-10,19 days,; partially_closed; stop-loss tightened during volatility spike; closed_due to volatility spike,RNL.F
31.0,390.0,391.0,34.400001525878906,33.459999084472656,31.863500595092773,44.42580099105835,-29.14007568359375,-0.02732565115437835,2025-07-16,2025-07-17,1 days,; closed_due to volatility spike,RNL.F
31.0,392.0,393.0,33.63999938964844,33.630001068115234,31.390501022338867,43.802281585693365,-0.3099479675292969,-0.0002972152709456166,2025-07-18,2025-07-21,3 days,; closed_due to volatility spike,RNL.F
32.0,394.0,402.0,33.2400016784668,32.36350002288818,,43.49051940536499,-28.04805297851567,-0.026368881206959127,2025-07-22,2025-08-01,10 days,,RNL.F
16.0,402.0,424.0,32.13999938964844,33.38999938964844,,,20.0,0.03889234672489117,2025-08-01,2025-09-02,32 days,; partially_closed,RNL.F
186.0,199.0,211.0,5.349999904632568,4.940000057220459,,6.819750000000001,-76.25997161865234,-0.07663548686367083,2024-10-10,2024-10-28,18 days,,TH1.F
186.0,211.0,217.0,4.940000057220459,4.539999961853027,,6.443040049552918,-74.40001773834229,-0.08097167828627427,2024-10-28,2024-11-05,8 days,,TH1.F
93.0,217.0,218.0,4.539999961853027,4.880000114440918,,,31.620014190673828,0.0748899020803333,2024-11-05,2024-11-06,1 days,; partially_closed,TH1.F
93.0,217.0,220.0,4.539999961853027,4.400000095367432,,6.339120148658753,-13.0199875831604,-0.03083697525593232,2024-11-05,2024-11-08,3 days,; partially_closed,TH1.F
196.0,220.0,228.0,4.400000095367432,4.0,,5.507759702682495,-78.4000186920166,-0.09090911061310525,2024-11-08,2024-11-20,12 days,,TH1.F
98.0,228.0,230.0,4.0,4.539999961853027,,,52.91999626159668,0.13499999046325684,2024-11-20,2024-11-22,2 days,; partially_closed,TH1.F
97.0,228.0,245.0,4.0,4.980000019073486,,5.455799752235413,95.06000185012817,0.24500000476837158,2024-11-20,2024-12-13,23 days,; partially_closed,TH1.F
